"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
450,0.4,0.15,-0.646908844866833,0.205964011331071,-1.0589963114082,-0.382353147107463,-0.309842570604934,-0.253541943193026,4
550,0.4,0.15,-1.00157994171275,0.188380688434463,-1.36113200642075,-0.761148118708281,-0.700451907958362,-0.633020811527574,4
650,0.4,0.15,-0.917442584348011,0.18074746645,-1.28119943925291,-0.687988993034083,-0.62171536662074,-0.56119029663231,4
750,0.4,0.15,-0.684617045703993,0.158990429384868,-0.996166123751613,-0.478636270438661,-0.424610874203492,-0.374172921673723,4
350,0.4,0.075,-0.233885096204428,0.228695003441637,-0.695005741633389,0.0578925365005248,0.13525798225443,0.212028740546279,5
450,0.4,0.075,-0.0335703528459537,0.198067491771431,-0.420247169814523,0.220528547601276,0.283960836521849,0.343738008586025,5
550,0.4,0.075,-0.898312337782188,0.184963730772126,-1.25177109902694,-0.659275469359807,-0.588216248820834,-0.533643179436176,5
650,0.4,0.075,-0.194185914676631,0.163544755164106,-0.514822841411313,0.01722707794047,0.0724229897630108,0.126220637599631,5
750,0.4,0.075,-0.338016456381548,0.15926603383964,-0.65205479704838,-0.131479050105198,-0.0761532582848244,-0.0224656554727271,5
350,0.4,0.1,-0.581181006622366,0.226485048820707,-1.02917917375973,-0.29253125093841,-0.217400245447521,-0.149016310160127,5
450,0.4,0.1,-0.307326781493584,0.199327081691,-0.693564051016493,-0.0549584736315482,0.0182348422436321,0.0784519559430576,5
550,0.4,0.1,-0.337888194648665,0.176479615520157,-0.68082295891487,-0.10969751175465,-0.0475770386592258,0.0100944419089301,5
650,0.4,0.1,-0.452614226383983,0.16668353105692,-0.779007884718295,-0.238598824012032,-0.177510140500705,-0.131621088202663,5
750,0.4,0.1,-0.519080786218525,0.160562352182252,-0.838256679905794,-0.314712451796331,-0.257823846714374,-0.207269696956442,5
350,0.4,0.125,-0.467809427633598,0.231472578018779,-0.918367209911605,-0.167486937626175,-0.0825505169234309,-0.00676287757105748,5
450,0.4,0.125,-0.696021088090444,0.20482799466954,-1.10265509775035,-0.435761141514382,-0.363264615553421,-0.293588435976827,5
550,0.4,0.125,-0.652574189136797,0.190437812645545,-1.0280337018474,-0.403363601306999,-0.335459794731314,-0.262391206180496,5
650,0.4,0.125,-0.313121061433678,0.173379923916772,-0.65860597515272,-0.0958031756563519,-0.0337703592638421,0.0294917084943261,5
750,0.4,0.125,-0.461274761865419,0.155654513177807,-0.761659871117229,-0.259020755467542,-0.200150887833995,-0.153821489113355,5
350,0.4,0.15,-0.849351860295161,0.248647864097916,-1.33957198194642,-0.528825954017841,-0.446104662055741,-0.369970266821125,5
450,0.4,0.15,-0.829651027748356,0.211514245562694,-1.2594828741935,-0.557244172212885,-0.480862714089421,-0.406656540353591,5
550,0.4,0.15,-0.606583967915096,0.186175419432843,-0.955980559189941,-0.361310836889616,-0.299290772840093,-0.240575837712835,5
650,0.4,0.15,-0.710986461130404,0.170109430668386,-1.04845813948157,-0.492623920199585,-0.435495928533016,-0.38806225179853,5
750,0.4,0.15,-0.804363676724439,0.157833409711021,-1.11379714763199,-0.602999347660811,-0.545438417032589,-0.49158697710553,5
350,0.4,0.075,-0.130885781264193,0.217459758943674,-0.568806783726136,0.142728138789426,0.227676703068918,0.295571279756807,6
450,0.4,0.075,-0.530503695636613,0.202461835700499,-0.929753570315158,-0.266727127570895,-0.196582464402685,-0.138300576079315,6
550,0.4,0.075,-0.210223522745005,0.177394711061821,-0.554547381160079,0.0172673124050686,0.090222803545102,0.137178185912942,6
650,0.4,0.075,-0.310579411371168,0.166955827384942,-0.643641162551423,-0.0978904605273364,-0.0352799682246974,0.0187630426920971,6
750,0.4,0.075,-0.306934565254884,0.154140305972695,-0.611814707316992,-0.110521522425209,-0.0597883072129376,-0.0147947563997592,6
350,0.4,0.1,-0.688617087294592,0.224483733976055,-1.1217440630459,-0.397030091048923,-0.313650247836382,-0.249787155577112,6
450,0.4,0.1,-0.680531654752236,0.206623322607005,-1.07954820641195,-0.419195126503471,-0.334650907417737,-0.270818757852928,6
550,0.4,0.1,-0.340416249960176,0.181050325690973,-0.69401225169281,-0.107600851315454,-0.0414833986978649,0.0176847763885259,6
650,0.4,0.1,-0.474422618099338,0.161383720610852,-0.785585863946391,-0.267204806018592,-0.208716954983924,-0.159066331178832,6
750,0.4,0.1,-0.701310433377767,0.159911372276812,-1.02355359389654,-0.496207958472211,-0.43958212883859,-0.382613815099916,6
350,0.4,0.125,-0.990559170655244,0.237202847446452,-1.46815819433691,-0.688059430641558,-0.599196997357972,-0.521885101824048,6
450,0.4,0.125,-0.333236058804789,0.198097814608833,-0.713613394563296,-0.0813951250260426,-0.000126025251328391,0.0601566747712351,6
550,0.4,0.125,-0.684872705953922,0.182474174634037,-1.05096664945359,-0.448539451562706,-0.379766003548561,-0.325307103278837,6
