"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
350,0.4,0.1,-0.455207617988648,0.234577593053517,-0.910546698317594,-0.158949042869438,-0.0735897270993355,0.0108031427489842,4
450,0.4,0.1,-0.376191387005685,0.195163595027758,-0.752890374404683,-0.125194683720657,-0.0653581163881984,-0.000882347887187224,4
550,0.4,0.1,-0.546478635138439,0.183440623960931,-0.907770277376927,-0.314761778518562,-0.251367609356668,-0.188757387065192,4
650,0.4,0.1,-0.755053172928785,0.175193887115605,-1.10537496413199,-0.52883563944223,-0.465402235605379,-0.413237839859403,4
750,0.4,0.1,-0.474504542279278,0.157265602188588,-0.783610178437243,-0.276401268014701,-0.214860753990334,-0.163771213377974,4
350,0.4,0.125,-0.40121622744884,0.225869447584427,-0.843160361420424,-0.111701237300774,-0.0296001114634297,0.0450885923208165,4
450,0.4,0.125,-0.739978788719234,0.210069116292341,-1.14976037807511,-0.464087245188091,-0.390449629118676,-0.336791009963911,4
550,0.4,0.125,-0.377852032937022,0.181700590080261,-0.72960490212861,-0.142955025267139,-0.0840349068974532,-0.0217278170651928,4
650,0.4,0.125,-0.659723502396127,0.166397403216073,-0.988974868725197,-0.442365826930953,-0.38981570950401,-0.334812983704379,4
750,0.4,0.125,-0.414210791857846,0.156366045915472,-0.719549747600061,-0.213904360408479,-0.15226504319414,-0.102846237122223,4
350,0.4,0.15,-0.925645241230216,0.240964455645443,-1.40610839605508,-0.613008661167795,-0.530336194806856,-0.469147086694469,4
450,0.4,0.15,-0.705575159391269,0.195995916287476,-1.09454651267017,-0.456468616615918,-0.387104345989009,-0.318744616606561,4
550,0.4,0.15,-0.931122490289138,0.191197527929971,-1.31139764962719,-0.681601079245796,-0.618755608422552,-0.562875410844045,4
650,0.4,0.15,-0.728022658761024,0.168519708697868,-1.05065899197128,-0.512037897216957,-0.454467854402792,-0.402763221428674,4
750,0.4,0.15,-0.843563335607557,0.16408820958791,-1.16177400364385,-0.632194030217474,-0.571964826132712,-0.52249690113391,4
350,0.4,0.075,-0.172328963140324,0.222918096583855,-0.602078592749468,0.114879751915769,0.192682362935045,0.262547921238868,5
