"N","p1","delta","est","s.e.","QL","QU","index"
750,0.2,0.05,-0.34236360129805,0.207344261968279,-0.748608095622901,0.05276307311373,2
350,0.3,0.05,-0.444206780713392,0.252423243318774,-0.9364953607956,0.0611333121177337,2
450,0.3,0.05,-0.288004977693316,0.226036452337658,-0.726368805064837,0.162689434420285,2
550,0.3,0.05,-0.265069574024779,0.198186485144302,-0.660833908873287,0.125380814430131,2
650,0.3,0.05,-0.270771945909898,0.180114017994538,-0.628747734866464,0.0776700523383364,2
750,0.3,0.05,0.0165257296426611,0.161643341651098,-0.294874985191443,0.328523048497295,2
350,0.4,0.05,-0.0586840049421593,0.217778013746224,-0.47926250598003,0.361304658823004,2
450,0.4,0.05,-0.188460359042288,0.196228474527114,-0.580465115068316,0.201974038252991,2
550,0.4,0.05,-0.399437183931307,0.173790502776789,-0.733630205116136,-0.0654408719111202,2
650,0.4,0.05,-0.31010209808836,0.16298137872405,-0.627903909753563,0.00460356348994086,2
750,0.4,0.05,-0.258956116664273,0.151696125559357,-0.557900524116219,0.0385428694872662,2
350,0.5,0.05,-0.211881109554957,0.212166763191421,-0.623243926046128,0.197518427789423,2
450,0.5,0.05,-0.199287393426149,0.190371609821697,-0.571090980437935,0.185425848981844,2
550,0.5,0.05,-0.0474373567992327,0.171748259110688,-0.382615046801947,0.282293603481326,2
650,0.5,0.05,0.21481040689953,0.15658741762897,-0.0912839397750933,0.51753459197334,2
750,0.5,0.05,-0.235802015782283,0.147219499520971,-0.52232774978484,0.0526254154397335,2
350,0.1,0.075,-1.30612015999242,0.495669829633214,-2.33937933392199,-0.394737110875472,2
450,0.1,0.075,-1.40157679036737,0.462040327732684,-2.35417536386138,-0.556222990036198,2
550,0.1,0.075,-2.53481138650542,0.636695933851728,-3.89496632167166,-1.4432594697582,2
650,0.1,0.075,-0.708681684334532,0.34577573035676,-1.39656801779598,-0.0426666249837808,2
750,0.1,0.075,-1.37587444389442,0.386290301351088,-2.14816034935517,-0.665946479185557,2
350,0.2,0.075,-0.157863932829142,0.291057284443335,-0.728670238925711,0.426216412398519,2
450,0.2,0.075,-0.978034631037988,0.2822089191758,-1.5635599999823,-0.450256512748026,2
550,0.2,0.075,-1.18815967749535,0.257454728317633,-1.69591116670528,-0.685954547242631,2
650,0.2,0.075,-0.657458916194437,0.215343504684105,-1.09119996951802,-0.238044091434948,2
750,0.2,0.075,-0.547844840402603,0.19357631582952,-0.919667778377236,-0.175199620447056,2
350,0.3,0.075,-0.217586326029491,0.242646441030221,-0.688574346572222,0.259509625487856,2
450,0.3,0.075,-0.0749625967139039,0.214994165846195,-0.489438428156096,0.350314005577378,2
550,0.3,0.075,-0.221739894413842,0.196238561763529,-0.615042997369892,0.174157351117355,2
650,0.3,0.075,-0.568973854162161,0.175073938041133,-0.896153463772718,-0.217605387816085,2
750,0.3,0.075,-0.340768814659654,0.164536155529583,-0.672600600962214,-0.0261020175309366,2
350,0.4,0.075,-0.218104668029781,0.223086651424037,-0.662812461046934,0.218226032396828,2
450,0.4,0.075,-0.386017841742595,0.197991958820931,-0.785166282914509,-0.00246381627452184,2
550,0.4,0.075,-0.39357648739123,0.176070850324964,-0.741700371316788,-0.0440931364032425,2
650,0.4,0.075,-0.425871654617844,0.165612473050067,-0.749348914204646,-0.101982935109514,2
750,0.4,0.075,-0.303022246301869,0.156259942094561,-0.604108290904515,-0.00434754433808851,2
350,0.5,0.075,-0.373201639652862,0.21910639571152,-0.801898448486279,0.0652454002790581,2
450,0.5,0.075,-0.108983782844292,0.194922550338278,-0.489226485156113,0.273158316884961,2
550,0.5,0.075,-0.134594091332646,0.169008340156695,-0.465778226924776,0.189550306339201,2
650,0.5,0.075,-0.273451388425121,0.159666402916868,-0.578783651968648,0.0374675984849921,2
750,0.5,0.075,-0.404114105352301,0.149580778138723,-0.692339271068273,-0.111848101899621,2
350,0.1,0.1,-6.48968652604493,3.23256941068579,-14.9463718494655,-2.28983380491409,2
450,0.1,0.1,-6.48471018220657,3.27382518152591,-14.82822808144,-2.25704385609212,2
550,0.1,0.1,-6.5101666915671,3.1590323503378,-14.823250131933,-2.56152150507252,2
650,0.1,0.1,-7.0710251186758,3.08615827161461,-14.9826781423544,-3.1263545283968,2
750,0.1,0.1,-7.13094542121993,2.93245946572674,-14.7511702084655,-3.4362101070927,2
350,0.2,0.1,-0.73129280206044,0.33199093684779,-1.36128368203617,-0.0892803549930171,2
